Région
Miss Alsace
Miss Aquitaine
Miss Auvergne
Miss Bourgogne
Miss Bretagne
Miss Centre
Miss Champagne-Ardenne
Miss Corse
Miss Côte d'Azur
Miss Franche-Comté
Miss Guadeloupe
Miss Guyane
Miss Île-de-France
Miss Languedoc
Miss Limousin
Miss Lorraine
Miss Martinique
Miss Mayotte
Miss Midi-Pyrénées
Miss Nord-Pas-de-Calais
Miss Normandie
Miss Nouvelle-Calédonie
Miss Orléanais
Miss Pays de la Loire
Miss Pays de Savoie
Miss Picardie
Miss Poitou-Charentes
Miss Provence
Miss Réunion
Miss Rhône-Alpes
Miss Roussillon
Miss Saint-Pierre-et-Miquelon
Miss Tahiti
Miss Saint-Martin et Saint-Barthélemy
Miss Centre-Val-de-Loire
Miss Languedoc-Roussillon
Miss Wallis et Futuna
